Swiss-Prot	Affymetrix
AAH13992	1000_at
P27361	1000_at
Q8NHX0	1000_at
Q8NHX1	1000_at
Q9BWJ1	1000_at
P35590	1001_at
Q9HBS4	1001_at
P33261	1002_f_at
Q16743	1002_f_at
P32302	1003_s_at
P32302	1004_at
P28562	1005_at
P09238	1006_at
Q08345	1007_s_at
Q96T61	1007_s_at
Q96T62	1007_s_at
---	1008_f_at
P49773	1009_at
Q9H5W8	1009_at
Q92696	100_g_at
Q15759	1010_at
P42655	1011_s_at
Q92831	1012_at
Q99717	1013_at
AAH42571	1014_at
P54098	1014_at
P53667	1015_s_at
Q14627	1016_s_at
---	1017_at
O00744	1018_at
O00744	1019_g_at
Q8NEF2	101_at
Q9NR20	101_at
Q99828	1020_s_at
P01579	1021_at
Q14609	1021_at
Q14610	1021_at
Q14611	1021_at
Q14612	1021_at
Q14613	1021_at
Q14614	1021_at
Q14615	1021_at
Q8NHY9	1021_at
Q96LA2	1021_at
P01570	1022_f_at
P01588	1023_at
P04798	1024_at
P04798	1025_g_at
P13942	1026_s_at
---	1027_at
Q13472	1028_at
P42681	1029_s_at
Q8WWE2	1029_s_at
O14632	102_at
Q92632	102_at
Q9HAS2	102_at
P11387	1030_s_at
Q9BVT2	1030_s_at
Q8IY12	1031_at
Q96SB4	1031_at
AAA64380	1032_at
AAA64381	1032_at
AAA64382	1032_at
AAA64383	1032_at
AAA64384	1032_at
AAA64385	1032_at
AAA64386	1032_at
P25025	1032_at
Q8IUZ1	1032_at
AAA64380	1033_g_at
AAA64381	1033_g_at
AAA64382	1033_g_at
AAA64383	1033_g_at
AAA64384	1033_g_at
AAA64385	1033_g_at
AAA64386	1033_g_at
P25025	1033_g_at
Q8IUZ1	1033_g_at
BAA08348	1034_at
P35625	1034_at
Q14867	1034_at
BAA08348	1035_g_at
P35625	1035_g_at
Q14867	1035_g_at
P40933	1036_at
AAO32670	1037_at
AAO32671	1037_at
AAO32672	1037_at
AAO32673	1037_at
AAO32674	1037_at
Q13072	1037_at
P15260	1038_s_at
Q9BY69	1038_s_at
AAG43026	1039_s_at
AAH12527	1039_s_at
Q16665	1039_s_at
Q96PT9	1039_s_at
P35443	103_at
Q13147	1040_s_at
Q13249	1040_s_at
Q13801	1040_s_at
Q9BV70	1040_s_at
Q9NYB9	1040_s_at
P52803	1041_at
P49788	1042_at
Q8N1D7	1042_at
P43351	1043_s_at
Q9Y5T7	1043_s_at
Q9Y5T8	1043_s_at
Q9Y5T9	1043_s_at
Q15329	1044_s_at
Q04206	1045_s_at
Q13313	1045_s_at
Q96CP1	1045_s_at
Q96F54	1045_s_at
Q13325	1046_at
---	1047_s_at
P48443	1048_at
P48443	1049_g_at
Q01860	104_at
Q14863	104_at
Q16655	1050_at
Q16655	1051_g_at
P49716	1052_s_at
P35250	1053_at
P35249	1054_at
P35249	1055_g_at
Q14005	1056_s_at
