Swiss-Prot	Affymetrix
AAH13992	1000_at
P27361	1000_at
Q8NHX0	1000_at
Q8NHX1	1000_at
Q9BWJ1	1000_at
P35590	1001_at
Q9HBS4	1001_at
P33261	1002_f_at
Q16743	1002_f_at
P32302	1003_s_at
P32302	1004_at
P28562	1005_at
P09238	1006_at
Q08345	1007_s_at
Q96T61	1007_s_at
Q96T62	1007_s_at
---	1008_f_at
P49773	1009_at
Q9H5W8	1009_at
Q92696	100_g_at
Q15759	1010_at
P42655	1011_s_at
Q92831	1012_at
Q99717	1013_at
AAH42571	1014_at
P54098	1014_at
P53667	1015_s_at
Q14627	1016_s_at
---	1017_at
O00744	1018_at
O00744	1019_g_at
Q8NEF2	101_at
Q9NR20	101_at
Q99828	1020_s_at
P01579	1021_at
Q14609	1021_at
Q14610	1021_at
Q14611	1021_at
Q14612	1021_at
Q14613	1021_at
Q14614	1021_at
Q14615	1021_at
Q8NHY9	1021_at
Q96LA2	1021_at
P01570	1022_f_at
P01588	1023_at
P04798	1024_at
P04798	1025_g_at
P13942	1026_s_at
---	1027_at
Q13472	1028_at
P42681	1029_s_at
Q8WWE2	1029_s_at
O14632	102_at
Q92632	102_at
Q9HAS2	102_at
P11387	1030_s_at
Q9BVT2	1030_s_at
Q8IY12	1031_at
Q96SB4	1031_at
AAA64380	1032_at
AAA64381	1032_at
AAA64382	1032_at
AAA64383	1032_at
AAA64384	1032_at
AAA64385	1032_at
AAA64386	1032_at
P25025	1032_at
Q8IUZ1	1032_at
AAA64380	1033_g_at
AAA64381	1033_g_at
AAA64382	1033_g_at
AAA64383	1033_g_at
AAA64384	1033_g_at
Q9UQV4	37168_at
O15090	37169_at
O94791	37170_at
Q8IYF2	37170_at
Q8N2G7	37170_at
Q8NHG9	37170_at
Q9NSY1	37170_at
Q9NTG8	37170_at
Q02241	37171_at
Q8WVP0	37171_at
Q15114	37172_at
Q96IY4	37172_at
Q9P2Y6	37172_at
O60645	37597_s_at
AAN59975	37598_at
AAN59977	37598_at
P50749	37598_at
Q8IZA5	37598_at
Q06278	37599_at
Q9BYF0	37599_at
---	375_at
O43266	37600_at
Q16610	37600_at
Q8IZ60	37600_at
O75751	37601_at
