Affymetrix	LocusLink	Swissprot	UniGene	Ensembl	RefSeq	GI
1919_at	7409	P15498 Q96D37	Hs.116237	ENSG00000141968	NP_005419 NM_005428	
191_at	4590	Q12964	Hs.533957			
1920_s_at	900	P51959	Hs.79101	ENSG00000113328	NP_004051 NP_954854 NM_004060 NM_199246	
1921_at						
1922_g_at						
1923_at	892	P24863 Q6PI04 Q7Z4L3	Hs.435450	ENSG00000112237	NP_005181 NM_005190	
1924_at	902	P51946	Hs.514	ENSG00000134480	NP_001230 NM_001239	
1925_at	899	P41002	Hs.1973	ENSG00000162063	NP_001752 NM_001761	
1926_at	7423	P49765	Hs.78781	ENSG00000173511	NP_003368 NM_003377	
1927_s_at	94	P37023	Hs.410104	ENSG00000139567	NP_000011 NM_000020	
1928_s_at	4087	Q15796 Q7Z5E4	Hs.12253	ENSG00000175387	NP_001003652 NP_005892 NM_001003652 NM_005901	
1929_at	284	Q15389 Q8N6P3	Hs.369675	ENSG00000154188	NP_001137 NP_647451 NM_001146 NM_139290	
192_at	6879	Q15545 Q8TBD8	Hs.438838	ENSG00000178913	NP_005633 NM_005642	
1930_at	8714	O15438 Q86VN9 Q86X85	Hs.90786	ENSG00000108846	NP_003777 NP_064421 NP_064422 NM_003786 NM_020037 NM_020038	
1931_at	10257	O15439 O75555 Q8IUA3 Q8IVZ4 Q8IWU1 Q8IZN6 Q8NEW8 Q7Z7E7	Hs.307915	ENSG00000125257	NP_005836 NM_005845	
1932_at	10057	O15440 Q96BR0 Q86UX3 Q86W30	Hs.22010	ENSG00000114770	NP_005679 NM_005688	
1933_g_at	10057	O15440 Q96BR0 Q86UX3 Q86W30	Hs.22010	ENSG00000114770	NP_005679 NM_005688	
1934_s_at	7424	P49767 Q6FH59	Hs.79141	ENSG00000150630	NP_005420 NM_005429	
1935_at	4194	O15151 Q68DC0 Q6MZR7	Hs.136965	ENSG00000058676	NP_002384 NM_002393	
1936_s_at						
1937_at						
1938_at	6714	P12931 Q86VB9 Q9H7V3	Hs.436015	ENSG00000101371	NP_005408 NP_938033 NM_005417 NM_198291	
1939_at	7157	P04637 Q6IT77	Hs.408312	ENSG00000141510	NP_000537 NM_000546	
193_at	6880	Q9Y3D8 Q16594	Hs.60679	ENSG00000085231	NP_003178 NP_057367 NM_003187 NM_016283	
1940_at	3845	P01116 Q14014 Q14015 Q15285 Q8N2Z2 Q96FS0	Hs.412107	ENSG00000133703	NP_004976 NP_203524 NM_004985 NM_033360	
1941_at	6502	Q13309	Hs.23348	ENSG00000145604	NP_005974 NP_116026 NM_005983 NM_032637	
