"Probe Set ID","GeneChip Array","Species Scientific Name","Annotation Date","Sequence Type","Sequence Source","Transcript ID","Target Description","Representative Public ID","Archival UniGene Cluster","Genome Version","Alignments","Overlapping Transcripts","Gene Title","Gene Symbol","Chromosomal Location","UniGene ID","Ensembl","LocusLink","SwissProt","EC","OMIM","RefSeq Protein ID","RefSeq Transcript ID","FlyBase","AGI","WormBase","MGI Name","RGD Name","SGD accession number","Gene Ontology Biological Process","Gene Ontology Cellular Component","Gene Ontology Molecular Function","Pathway","Protein Families","Protein Domains","InterPro","Trans Membrane","QTL"
"1007_s_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","Affymetrix Proprietary Database","U48705mRNA"," U48705 /FEATURE=mRNA /DEFINITION=HSU48705 Human receptor tyrosine kinase DDR gene, complete cds ","U48705","---","July 2003 (NCBI 34)","chr6:30962416-30974184 (+) // 99.34 // p21.33","NM_001954 // discoidin domain receptor family, member 1 // chr6:30958111-30974184 (+) /// NM_013993 // discoidin domain receptor family, member 1 // chr6:30962416-30974184 (+) /// NM_013994 // discoidin domain receptor family, member 1 // chr6:30962416-30974184 (+)","discoidin domain receptor family, member 1 /// discoidin domain receptor family, member 1","DDR1","Chr:6p21.3","Hs.423573","ENSG00000137332","780","BAC85426 /// Q08345 /// Q96T61 /// Q96T62","EC:2.7.1.112","600408","NP_001945 /// NP_054699 /// NP_054700","NM_001954 /// NM_013993 /// NM_013994","---","---","---","---","---","---","6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7155 // cell adhesion // traceable author statement /// 7169 // transmembrane receptor protein tyrosine kinase signaling pathway // inferred from electronic annotation","5887 // integral to plasma membrane // traceable author statement","4714 // transmembrane receptor protein tyrosine kinase activity // traceable author statement /// 4872 // receptor activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation","---","ec // ZA70_HUMAN // ZA70_HUMAN EC:2.7.1.112:TYROSINE-PROTEIN KINASE ZAP-70 (EC 2.7.1.112) (70 KDA ZETA-ASSOCIATED PROTEIN) (SYK-RELATED TYROSINE KINASE). // --- /// Hanks // DDR // HUMRTK_1 (DDR) KINASES:5.11.1 | PTK Group B membrane spanning protein tyrosine kinases.PTK XX DDR/TKT family .DDR // ---","scop // d1kexa_ // d1kexa_ SCOP:b.18.1.2:| B1 domain of neuropilin-1 // --- /// scop // d1lufa_ // d1lufa_ SCOP:d.144.1.7:| Musk tyrosine kinase // --- /// scop // d1o97d2 // d1o97d2 SCOP:c.31.1.2:| C-terminal domain of the electron transfer flavoprotein alpha subunit // ---","IPR001245 // Tyrosine protein kinase /// IPR008266 // Tyrosine protein kinase, active site /// IPR002290 // Serine/threonine protein kinase /// IPR000421 // Coagulation factor 5/8 type C domain (FA58C) /// IPR000719 // Protein kinase /// IPR002011 // Receptor tyrosine kinase, class II","---","---"
"1053_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","GenBank","M87338"," M87338 /FEATURE= /DEFINITION=HUMA1SBU Human replication factor C, 40-kDa subunit (A1) mRNA, complete cds ","M87338","---","July 2003 (NCBI 34)","chr7:73058099-73080829 (-) // 85.84 // q11.23","NM_002914 // replication factor C (activator 1) 2, 40kDa // chr7:73057930-73080835 (-) /// NM_181471 // replication factor C (activator 1) 2, 40kDa // chr7:73057930-73080835 (-)","replication factor C (activator 1) 2, 40kDa","RFC2","Chr:7q11.23","Hs.139226","ENSG00000049541","5982","AAP35707 /// P35250","---","600404","NP_002905 /// NP_852136","NM_002914 /// NM_181471","---","---","---","---","---","---","6260 // DNA replication // inferred from electronic annotation","5634 // nucleus // inferred from electronic annotation /// 5663 // DNA replication factor C complex // traceable author statement","166 // nucleotide binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 5524 // ATP binding // traceable author statement","DNA_replication","ec // KAD2_HUMAN // KAD2_HUMAN EC:2.7.4.3:ADENYLATE KINASE ISOENZYME 2, MITOCHONDRIAL (EC 2.7.4.3) (ATP-AMP TRANSPHOSPHORYLASE). // ---","scop // d1iqpa1 // d1iqpa1 SCOP:a.80.1.1:| Replication factor C // --- /// scop // d1iqpa2 // d1iqpa2 SCOP:c.37.1.20:| Replication factor C // ---","IPR000862 // Replication factor C conserved domain /// IPR003593 // AAA ATPase","---","---"
"117_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","Affymetrix Proprietary Database","X51757cds","X51757 /FEATURE=cds /DEFINITION=HSP70B Human heat-shock protein HSP70B' gene","X51757","---","July 2003 (NCBI 34)","chr1:158763222-158765154 (+) // 99.17 // q23.3","NM_002155 // heat shock 70kDa protein 6 (HSP70B') // chr1:158762809-158765459 (+)","heat shock 70kDa protein 6 (HSP70B') /// heat shock 70kDa protein 6 (HSP70B')","HSPA6","Chr:1q23","Hs.3268","ENSG00000173110","3310","P17066","---","140555","NP_002146","NM_002155","---","---","---","---","---","---","---","---","3773 // heat shock protein activity // traceable author statement /// 5524 // ATP binding // inferred from electronic annotation","---","---","scop // d1bupa1 // d1bupa1 SCOP:c.55.1.1:| Heat shock protein 70kDa, ATPase fragment // --- /// scop // d1dkza_ // d1dkza_ SCOP:e.20.1.1:| DnaK // --- /// scop // d1hjoa2 // d1hjoa2 SCOP:c.55.1.1:| Heat shock protein 70kDa, ATPase fragment // --- /// scop // d1ksr__ // d1ksr__ SCOP:b.1.18.10:| repeats // --- /// scop // d1nkpb_ // d1nkpb_ SCOP:a.38.1.1:| Max protein // ---","IPR001023 // Heat shock protein Hsp70","---","---"
"121_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","GenBank","X69699","X69699 /FEATURE= /DEFINITION=HSPAX8A H.sapiens Pax8 mRNA","X69699","---","July 2003 (NCBI 34)","chr2:114070085-114131633 (-) // 97.09 // q13","NM_003466 // paired box gene 8 // chr2:114070085-114131643 (-) /// NM_013951 // paired box gene 8 // chr2:114070085-114131643 (-) /// NM_013952 // paired box gene 8 // chr2:114070085-114131643 (-) /// NM_013953 // paired box gene 8 // chr2:114070085-114131643 (-) /// NM_013992 // paired box gene 8 // chr2:114070085-114131643 (-)","paired box gene 8","PAX8","Chr:2q12-q14","Hs.308061","ENSG00000125618","7849","Q06710","---","167415","NP_003457 /// NP_039245 /// NP_039246 /// NP_039247 /// NP_054698","NM_003466 /// NM_013951 /// NM_013952 /// NM_013953 /// NM_013992","---","---","---","---","---","---","6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 9653 // morphogenesis // traceable author statement /// 30154 // cell differentiation // inferred from electronic annotation /// 7275 // PAX;development;1.7e-88 // extended:Unknown","5634 // nucleus // non-traceable author statement","3700 // transcription factor activity // traceable author statement /// 4996 // thyroid-stimulating hormone receptor activity // traceable author statement","---","---","scop // d1fjlb_ // d1fjlb_ SCOP:a.4.1.1:| Paired protein // --- /// scop // d1h6ta1 // d1h6ta1 SCOP:b.1.18.15:| Internalin B // --- /// scop // d1pdnc_ // d1pdnc_ SCOP:a.4.1.5:| Paired protein (prd) // ---","IPR001523 // Paired box protein, N-terminal","---","---"
"1255_g_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","Affymetrix Proprietary Database","L36861expanded_cds"," L36861 /FEATURE=expanded_cds /DEFINITION=HUMGCAPB Homo sapiens guanylate cyclase activating protein (GCAP) gene exons 1-4, complete cds ","L36861","---","July 2003 (NCBI 34)","chr6:42187796-42194647 (+) // 96.5 // p21.1","NM_000409 // guanylate cyclase activator 1A (retina) // chr6:42170028-42194647 (+)","guanylate cyclase activator 1A (retina) /// guanylate cyclase activator 1A (retina)","GUCA1A","Chr:6p21.1","Hs.92858","ENSG00000048545","2978","P43080","---","600364","NP_000400","NM_000409","---","---","---","---","---","---","---","---","5509 // efhand;calcium ion binding;6.2e-06 // extended:inferred from direct assay","---","---","scop // d1rec__ // d1rec__ SCOP:a.39.1.5:| Recoverin // ---","IPR002048 // Calcium-binding EF-hand","---","---"
"1294_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","GenBank","L13852"," L13852 /FEATURE= /DEFINITION=HUME1URP Homo sapiens ubiquitin-activating enzyme E1 related protein mRNA, complete cds ","L13852","---","July 2003 (NCBI 34)","chr3:49801651-49810435 (-) // 99.7 // p21.31","NM_003335 // ubiquitin-activating enzyme E1-like // chr3:49801650-49810403 (-)","ubiquitin-activating enzyme E1-like","UBE1L","Chr:3p21","Hs.16695","ENSG00000182179","7318","P41226 /// Q9BRB2","---","191325","NP_003326","NM_003335","---","---","---","---","---","---","6512 // ubiquitin cycle // inferred from electronic annotation","---","4839 // ubiquitin activating enzyme activity // inferred from electronic annotation /// 16874 // ligase activity // inferred from electronic annotation /// 3824 // ThiF;catalytic activity;3e-49 // extended:Unknown","Proteasome_Degradation","ec // APT_HUMAN // APT_HUMAN EC:2.4.2.7:ADENINE PHOSPHORIBOSYLTRANSFERASE (EC 2.4.2.7) (APRT). // ---","scop // d1jw9b_ // d1jw9b_ SCOP:c.111.1.1:| Molybdenum cofactor biosynthesis protein MoeB // --- /// scop // d1mnga1 // d1mnga1 SCOP:a.2.11.1:| Mn superoxide dismutase (MnSOD) // ---","IPR000011 // Ubiquitin-activating enzyme /// IPR000594 // UBA/THIF-type NAD/FAD binding fold /// IPR000127 // Ubiquitin-activating enzyme repeat","---","---"
"1316_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","Affymetrix Proprietary Database","X55005mRNA"," X55005 /FEATURE=mRNA /DEFINITION=HSCERBAR Homo sapiens mRNA for thyroid hormone receptor alpha 1 THRA1, (c-erbA-1 gene) ","X55005","---","July 2003 (NCBI 34)","chr17:38594118-38621252 (+) // 99.38 // q21.1","NM_199334 // thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian) // chr17:38594025-38621252 (+)","thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian) /// thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)","THRA","Chr:17q11.2","Hs.724","ENSG00000126351","7067","AAA52334 /// P10827 /// P20393","---","190120","NP_003241 /// NP_955366","NM_003250 /// NM_199334","---","---","---","---","---","---","6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 6366 // transcription from Pol II promoter // traceable author statement","5634 // nucleus // not recorded","3700 // transcription factor activity // traceable author statement /// 3707 // steroid hormone receptor activity // inferred from electronic annotation /// 4887 // thyroid hormone receptor activity // traceable author statement","Nuclear_Receptors /// Nuclear_Receptors","---","scop // d1nava_ // d1nava_ SCOP:a.123.1.1:| Thyroid hormone receptor alpha1 (TR-alpha1) // --- /// scop // d2nllb_ // d2nllb_ SCOP:g.39.1.2:| DNA-binding domain // ---","IPR001628 // Zn-finger, C4-type steroid receptor /// IPR000536 // Ligand-binding domain of nuclear hormone receptor","---","---"
"1320_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","Affymetrix Proprietary Database","X79510cds","X79510 /FEATURE=cds /DEFINITION=HSPTPD1 H.sapiens mRNA for protein-tyrosine-phosphatase D1","X79510","---","July 2003 (NCBI 34)","chr14:86924521-87006802 (-) // 99.77 // q32.11","NM_007039 // protein tyrosine phosphatase, non-receptor type 21 // chr14:86924157-87011164 (-)","protein tyrosine phosphatase, non-receptor type 21 /// protein tyrosine phosphatase, non-receptor type 21","PTPN21","Chr:14q31.3","Hs.437040","ENSG00000070778","11099","Q16825","EC:3.1.3.48","603271","NP_008970","NM_007039","---","---","---","---","---","---","6470 // protein amino acid dephosphorylation // traceable author statement","5856 // cytoskeleton // traceable author statement","4725 // protein tyrosine phosphatase activity // traceable author statement /// 5198 // structural molecule activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation","---","---","scop // d1eeoa_ // d1eeoa_ SCOP:c.45.1.2:| Tyrosine phosphatase // --- /// scop // d1gg3a1 // d1gg3a1 SCOP:a.11.2.1:| Erythroid membrane protein 4.1R // --- /// scop // d1gg3a3 // d1gg3a3 SCOP:d.15.1.4:| Erythroid membrane protein 4.1R // --- /// scop // d1j19a2 // d1j19a2 SCOP:b.55.1.5:| Radixin // --- /// scop // d1ntca_ // d1ntca_ SCOP:a.105.1.1:| DNA-binding domain of NTRC // ---","IPR000242 // Tyrosine specific protein phosphatase /// IPR000299 // Band 4.1 /// IPR000387 // Tyrosine specific protein phosphatase and dual specificity protein phosphatase /// IPR003595 // Protein tyrosine phosphatase, catalytic region","---","---"
"1405_i_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","GenBank","M21121"," M21121 /FEATURE= /DEFINITION=HUMTCSM Human T cell-specific protein (RANTES) mRNA, complete cds ","M21121","---","July 2003 (NCBI 34)","chr17:34344076-34352880 (-) // 93.45 // q12","NM_002985 // chemokine (C-C motif) ligand 5 // chr17:34344046-34352927 (-)","chemokine (C-C motif) ligand 5","CCL5","Chr:17q11.2-q12","Hs.489044","ENSG00000161570","6352","P13501","---","187011","NP_002976","NM_002985","---","---","---","---","---","---","6874 // calcium ion homeostasis // traceable author statement /// 6887 // exocytosis // traceable author statement /// 6928 // cell motility // traceable author statement /// 6935 // chemotaxis // traceable author statement /// 6954 // inflammatory response // traceable author statement /// 6968 // cellular defense response // traceable author statement /// 6979 // response to oxidative stress // traceable author statement /// 7155 // cell adhesion // traceable author statement /// 7165 // signal transduction // traceable author statement /// 7267 // cell-cell signaling // traceable author statement /// 9615 // response to virus // traceable author statement","5576 // extracellular // inferred from electronic annotation","8009 // chemokine activity // traceable author statement","---","---","scop // d1b3aa_ // d1b3aa_ SCOP:d.9.1.1:| RANTES (regulated upon activation, normal T-cell expressed and secreted) // ---","IPR001811 // Small chemokine, interleukin-8 like /// NULL // Transmembrane Segment /// IPR000827 // Small chemokine, C-C subfamily","gi22538814refNP_002976.2 // 1 // ---","---"
"1431_at","Human Genome U133 Plus 2.0 Array","Homo sapiens","Jun 23, 2004","Exemplar sequence","Affymetrix Proprietary Database","J02843cds"," J02843 /FEATURE=cds /DEFINITION=HUMCYPIIE Human cytochrome P450IIE1 (ethanol-inducible) gene, complete cds ","J02843","---","July 2003 (NCBI 34)","chr10:134814190-134825759 (+) // 99.73 // q26.3","NM_000773 // cytochrome P450, family 2, subfamily E, polypeptide 1 // chr10:134814157-134825911 (+)","cytochrome P450, family 2, subfamily E, polypeptide 1 /// cytochrome P450, family 2, subfamily E, polypeptide 1","CYP2E1","Chr:10q24.3-qter","Hs.75183","ENSG00000130649","1571","AAH67433 /// AAH67435 /// P05181 /// Q16868","EC:1.14.14.1","124040","NP_000764","NM_000773","---","---","---","---","---","---","6118 // electron transport // inferred from electronic annotation","5783 // endoplasmic reticulum // inferred from electronic annotation /// 5792 // microsome // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation","4497 // monooxygenase activity // traceable author statement /// 16712 // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen // inferred from electronic annotation /// 19825 // oxygen binding // traceable author statement","Fatty acid metabolism /// gamma-Hexachlorocyclohexane degradation /// Tryptophan metabolism /// Fatty acid metabolism /// gamma-Hexachlorocyclohexane degradation /// Tryptophan metabolism","ec // CP4Y_HUMAN // CP4Y_HUMAN EC:1.14.15.3:CYTOCHROME P450 4A11 PRECURSOR (EC 1.14.15.3) (CYPIVA11) (FATTY ACID OMEGA-HYDROXYLASE) (P-450 HK OMEGA) (LAURIC ACID OMEGA-HYDROXYLASE) (CYP4AII) (P450-HL-OMEGA). // --- /// ec // CP80_BERST // CP80_BERST EC:1.1.3.34:BERBAMUNINE SYNTHASE (EC 1.1.3.34) (CYTOCHROME P450 80) (CYPLXXX) ((S)-N-METHYLCOCLAURINE OXIDASE [C-O PHENOL-COUPLING]). // --- /// ec // CPT7_HUMAN // CPT7_HUMAN EC:1.14.99.9:CYTOCHROME P450 17 (EC 1.14.99.9) (CYPXVII) (P450-C17) (STEROID 17-ALPHA-HYDROXYLASE/17,20 LYASE). // --- /// ec // CPV1_HUMAN // CPV1_HUMAN EC:1.14.14.1:CYTOCHROME P450 19 (AROMATASE) (EC 1.14.14.1) (CYPXIX) (ESTROGEN SYNTHETASE) (P-450AROM). // --- /// ec // TCMO_ZINEL // TCMO_ZINEL EC:1.14.13.11:TRANS-CINNAMATE 4-MONOOXYGENASE (EC 1.14.13.11) (CINNAMIC ACID 4-HYDROXYLASE) (CA4H) (C4H) (P450C4H) (CYTOCHROME P450 73). // --- /// ec // THAS_HUMAN // THAS_HUMAN EC:5.3.99.5:THROMBOXANE-A SYNTHASE (EC 5.3.99.5) (TXA SYNTHASE) (TXS). // --- /// P450 // Q29508 // CYP2E2 Cyt P450: Animalia.CYP2E2.rab // ---","scop // d1gcvb_ // d1gcvb_ SCOP:a.1.1.2:| Hemoglobin, beta-chain // --- /// scop // d1og2a_ // d1og2a_ SCOP:a.104.1.1:| Cytochrome p450 2c9 // ---","IPR001128 // Cytochrome P450","---","---"
