UNIPROT	GI
O03042	7525041
O03983	15223413
O04005	15221082
O04027	15223998
O04036	18390959
O04036	79317421
O04046	15224064
O04090	15220256
O04093	30681977
O04130	18394525
O04130	79318100
O04147	15234068
O04151	15223517
O04157	15219943
O04197	18405209
O04202	15225611
O04204	15225613
O04212	18405261
O04249	15235215
O04289	15235467
O04294	15235257
O04308	18401141
O04309	30684083
O04309	79313265
O04312	15228214
O04336	18402397
O04350	18402340
O04373	15218027
O04375	15242766
O04376	15232782
O04378	18414953
O04379	15221177
O04425-4	30683603
O04450	15221770
O04478	15218745
O04479	15218746
O04486	15217568
O04487	18391048
O04499	18391066
O04500	30681356
O04603	15234136
O04609	15234113
O04630-1	30690426
O04656	15240447
O04663	15238558
O04716	15235223
O04719	15242022
O04722	15238085
O04834	15235226
O04848	15223948
O04904	15235865
O04905	30690246
O04905	79328724
O04921	15227742
O04922	15225103
O04928	30696710
O04951	15222511
O22040-1	30680907
O22042	15230612
O22043	15222767
O22048	15232222
O22049	30697967
O22059	15225977
O22126	18406799
O22131	30690020
O22132	15225471
O22151	15225431
O22152	18406725
O22160-1	18406661
O22160-2	18406663
O22165	15225363
O22176	15227812
O22190	15227787
O22203	30688445
O22207	18405549
O22212	15227373
O22213	15227374
O22218	15227380
O22224	18405761
O22254	18407393
O22255	15226628
O22263	15226610
O22265	18407359
O22288	18405162
O22290	15225573
O22397-1	15227701
O22446	15233694
O22456-1	22329771
O22456-2	30688808
O22467	15237140
O22468	15227294
O22469	15236251
O22476	15235059
O22527	18394772
O22588	15220848
O22607	30680701
O22609	22331378
O22622-1	18403864
O22682	15228596
O22683	15229458
O22711	18406870
O22727	15219879
O22752	42569102
O22755	15227839
O22757	18398444
O22769	18411985
O22773	15235402
O22775	18411962
O22779	15225825
O22781	15225829
O22795	18403278
O22800	30685731
O22815	15226140
O22850	15224272
O22860	15224284
O22860	15231705
O22862	30689391
O22866	15224297
O22867	15224299
O22870	15224305
O22874	15226718
O22881	18405433
O22886	15226690
O22892	18405381
O22899	15226549
O22900	15226550
O22907	18407327
O22912	15226582
O22921	15227728
O22925	15227732
O22928	15227735
O22929	15227736
O22932	15227739
O22951	18403412
O22959	15226205
O22967	15226224
O22969	18403464
O23006	18398317
O23039	15220470
O23044	15220463
O23049	15220443
O23051	15220438
O23066	15236789
O23087	15236991
O23095	18411448
O23095	30678744
O23100	22328193
O23115	15242156
O23116	15219541
O23138	15219956
O23141	15236176
O23141	42573175
O23145	15233049
O23208	15234508
O23236	15234397
O23237	15234394
O23252	15236735
O23255	15236376
O23264	15236385
O23290	15229438
O23290	15236469
O23305	15233463
O23310	15233475
O23320	15233513
O23365	30683137
O23372	42566815
O23379	22328656
O23403	18414467
O23429	22328683
O23463	22328707
O23482	18414644
O23492	15235767
O23515	15235851
O23547	30683908
O23609	15236620
O23627-1	18397278
O23628	15232536
O23629	15231304
O23653	15241295
O23654	15219234
O23654	79321468
O23661	15226178
O23676	15217623
O23693	18391228
O23708-1	15219257
O23708-1	79318062
O23710-1	18405364
O23710-2	30688785
O23712	15220151
O23714	15228805
O23715	15225839
O23717	15222152
O23913	15228729
O24407	15229343
O24408	15218080
O24409	15232612
O24410	15226476
O24412	15239230
O24454	18420557
O24456	15220941
O24495	18406237
O24496	15228389
O24520	15226675
O24521	15228313
O24600	15224093
O24606	15232362
O24616	15239271
O24617	42565226
O24633	15233580
O24646	18416509
O48520	42569857
O48549	15236042
O48593	15236037
O48626	30685491
O48639	15239851
O48646	30681827
O48661	15223115
O48670	15234975
O48671	15226596
O48677	15221670
O48707	15225298
O48709	15225304
O48737	30678634
O48741	15218860
O48766	15225764
O48772	18403134
O48780	15225767
O48818	15225530
O48845	15225731
O48850	30685375
O48917	15234041
O48946	15236786
O48947	15235042
O48962	15223758
O48963	15231245
O48963	79314333
O49048	18411376
O49139-1	18412893
O49160	15228840
O49196	15236087
O49203	15237018
