Affymetrix	Swiss-Prot
1000_at	P27361
1000_at	Q7Z3H5
1000_at	Q8NHX0
1000_at	Q8NHX1
1000_at	Q9BWJ1
1001_at	P35590
1001_at	Q9HBS4
1002_f_at	P11712
1002_f_at	P11713
1002_f_at	Q16756
1002_f_at	Q16872
1002_f_at	Q8WW80
1003_s_at	P32302
1004_at	P32302
1005_at	P28562
1006_at	AAP36110
1006_at	P09238
1007_s_at	BAC85426
1007_s_at	Q08345
1007_s_at	Q96T61
1007_s_at	Q96T62
1008_f_at	AAH07769
1008_f_at	AAH57805
1008_f_at	P19525
1008_f_at	Q7Z6F6
1008_f_at	Q8IW76
1009_at	P49773
100_g_at	Q92696
1010_at	Q15759
1011_s_at	AAP35825
1011_s_at	P42655
1012_at	AAH60823
1012_at	Q92831
1013_at	Q99717
1014_at	P54098
1015_s_at	P53667
1016_s_at	Q14627
1017_at	P52701
1018_at	O00744
1019_g_at	O00744
101_at	Q8NEF2
101_at	Q9NR20
1020_s_at	Q99828
1021_at	AAP20098
1021_at	P01579
1021_at	Q14609
1021_at	Q14610
1021_at	Q14611
1021_at	Q14612
1021_at	Q14613
1021_at	Q14614
1021_at	Q14615
1021_at	Q8NHY9
1021_at	Q96LA2
1022_f_at	P01566
1023_at	P01588
1024_at	P04798
1025_g_at	P04798
1026_s_at	BAC85467
1026_s_at	P13942
1026_s_at	Q7Z6C3
1027_at	BAC85467
1027_at	P13942
1027_at	Q7Z6C3
1028_at	Q13472
1029_s_at	P42681
102_at	AAR07951
102_at	O14632
102_at	Q92632
102_at	Q9HAS2
1030_s_at	AAH04475
1030_s_at	AAH67349
1030_s_at	P11387
1030_s_at	Q9BVT2
1031_at	Q8IY12
1031_at	Q96SB4
1032_at	AAA64380
1032_at	AAA64381
1032_at	AAA64382
1032_at	AAA64383
1032_at	AAA64384
1032_at	AAA64386
1032_at	P25025
1032_at	Q8IUZ1
1033_g_at	AAA64380
1033_g_at	AAA64381
1033_g_at	AAA64382
1033_g_at	AAA64383
1033_g_at	AAA64384
1033_g_at	AAA64386
1033_g_at	P25025
1033_g_at	Q8IUZ1
1034_at	AAP35494
1034_at	BAA08348
1034_at	P35625
1034_at	Q14867
1035_g_at	AAP35494
1035_g_at	BAA08348
1035_g_at	P35625
1035_g_at	Q14867
1036_at	P40933
1037_at	Q13072
1038_s_at	AAP35460
1038_s_at	P15260
1038_s_at	Q9BY69
1039_s_at	AAP88778
1039_s_at	Q16665
103_at	P35443
103_at	Q86TG2
1040_s_at	BAC86085
1040_s_at	Q13147
1040_s_at	Q13249
1040_s_at	Q13801
1040_s_at	Q9BV70
1040_s_at	Q9NYB9
1041_at	P52803
1042_at	P49788
1042_at	Q8N1D7
1043_s_at	P43351
1043_s_at	Q9Y5T7
1043_s_at	Q9Y5T8
1043_s_at	Q9Y5T9
1044_s_at	Q15329
1045_s_at	Q04206
1045_s_at	Q13313
1045_s_at	Q96CP1
1045_s_at	Q96F54
1046_at	Q13325
1047_s_at	AAH48330
1047_s_at	P26927
1048_at	P48443
1049_g_at	P48443
104_at	Q01860
104_at	Q14863
104_at	Q7Z7P6
104_at	Q9BZV8
104_at	Q9BZW0
1050_at	Q16655
1051_g_at	Q16655
1052_s_at	---
1053_at	AAP35707
1053_at	P35250
1054_at	AAP35633
1054_at	P35249
1055_g_at	AAP35633
1055_g_at	P35249
1056_s_at	AAQ86961
1056_s_at	BAC85888
1056_s_at	BAC86494
1056_s_at	Q14005
1056_s_at	Q8IUU6
1056_s_at	Q9UME6
1057_at	P29373
1058_at	Q86VQ2
1058_at	Q9UPY6
1059_at	O95192
1059_at	O95193
1059_at	Q16288
1059_at	Q8WWU8
1059_at	Q96CY4
105_at	---
1060_g_at	O95192
1060_g_at	O95193
1060_g_at	Q16288
1060_g_at	Q8WWU8
1060_g_at	Q96CY4
1061_at	Q13651
1062_g_at	Q13651
1063_s_at	Q06418
1063_s_at	Q12787
1063_s_at	Q86VR3
1063_s_at	Q8N6J3
1064_at	AAH68548
1064_at	Q12792
1065_at	P36888
1066_at	P42701
1066_at	Q8N6Q7
1067_at	AAH11914
1067_at	P49771
1067_at	Q7Z6N5
1068_g_at	AAH11914
1068_g_at	P49771
1068_g_at	Q7Z6N5
1069_at	AAR23927
