UNIPROT	REF_SEQ Protein
O03042	NP_051067
O03983	NP_171654
O04005	NP_175247
O04027	NP_172377
O04036	NP_001031006
O04036	NP_001031006
O04046	NP_179960
O04090	NP_172565
O04093	NP_172561
O04130	NP_001031061
O04130	NP_001031061
O04147	NP_193628
O04151	NP_176030
O04157	NP_173688
O04197	NP_565919
O04202	NP_181528
O04204	NP_181530
O04212	NP_565923
O04249	NP_192114
O04289	NP_192179
O04294	NP_192124
O04308	NP_566548
O04309	NP_001030712
O04309	NP_001030712
O04312	NP_188265
O04336	NP_565703
O04350	NP_565699
O04373	NP_175587
O04375	NP_195967
O04376	NP_187599
O04378	NP_567537
O04379	NP_175274
O04425-4	NP_193363
O04450	NP_173859
O04478	NP_176738
O04479	NP_176739
O04486	NP_172434
O04487	NP_563848
O04499	NP_563852
O04500	NP_172450
O04603	NP_192040
O04609	NP_192034
O04630-1	NP_198035
O04656	NP_198066
O04663	NP_198412
O04716	NP_192116
O04719	NP_200515
O04722	NP_196580
O04834	NP_192117
O04848	NP_172363
O04904	NP_194024
O04905	NP_001031942
O04905	NP_001031942
O04921	NP_180598
O04922	NP_180715
O04928	NP_176433
O04951	NP_177154
O22040-1	NP_563832
O22042	NP_187254
O22043	NP_175376
O22048	NP_189399
O22049	NP_201226
O22059	NP_182164
O22126	NP_566043
O22131	NP_850436
O22132	NP_182065
O22151	NP_182045
O22152	NP_566037
O22160-1	NP_566030
O22160-2	NP_566031
O22165	NP_182013
O22176	NP_179913
O22190	NP_179898
O22203	NP_850337
O22207	NP_565944
O22212	NP_181681
O22213	NP_181682
O22218	NP_181687
O22224	NP_565951
O22254	NP_566104
O22255	NP_182278
O22263	NP_182269
O22265	NP_566101
O22288	NP_030525
O22290	NP_181512
O22397-1	NP_180568
O22446	NP_195526
O22456-1	NP_564214
O22456-2	NP_850953
O22467	NP_200631
O22468	NP_179269
O22469	NP_195231
O22476	NP_195650
O22527	NP_564094
O22588	NP_173223
O22607	NP_565456
O22609	NP_189431
O22622-1	NP_565807
O22682	NP_187013
O22683	NP_188991
O22711	NP_564763
O22727	NP_176314
O22752	NP_179335
O22755	NP_179337
O22757	NP_565416
O22769	NP_567244
O22773	NP_192162
O22775	NP_567241
O22779	NP_180885
O22781	NP_180887
O22795	NP_565765
O22800	NP_850211
O22815	NP_180923
O22850	NP_181863
O22860	NP_181874
O22860	NP_181874
O22862	NP_181876
O22866	NP_181880
O22867	NP_181881
O22870	NP_181884
O22874	NP_181593
O22881	NP_565936
O22886	NP_181581
O22892	NP_565931
O22899	NP_182247
O22900	NP_182248
O22907	NP_566099
O22912	NP_182260
O22921	NP_180584
O22925	NP_180588
O22928	NP_180591
O22929	NP_180592
O22932	NP_180595
O22951	NP_565776
O22959	NP_180953
O22967	NP_180961
O22969	NP_565781
O23006	NP_565406
O23039	NP_172022
O23044	NP_172018
O23049	NP_172011
O23051	NP_172008
O23066	NP_191946
O23087	NP_191999
O23095	NP_567190
O23095	NP_567190
O23100	NP_191985
O23115	NP_197611
O23116	NP_177514
O23138	NP_173697
O23141	NP_195197
O23141	NP_195197
O23145	NP_191675
O23208	NP_195392
O23236	NP_195363
O23237	NP_195361
O23252	NP_193538
O23255	NP_193130
O23264	NP_193139
O23290	NP_188981
O23290	NP_188981
O23305	NP_193185
O23310	NP_193190
O23320	NP_193200
O23365	NP_193247
O23372	NP_193253
O23379	NP_193260
O23403	NP_567468
O23429	NP_193313
O23463	NP_193350
O23482	NP_567493
O23492	NP_193381
O23515	NP_193405
O23547	NP_193436
O23609	NP_193504
O23627-1	NP_564337
O23628	NP_191019
O23629	NP_190184
O23653	NP_196910
O23654	NP_001031299
O23654	NP_001031299
O23661	NP_180942
O23676	NP_171716
O23693	NP_563882
O23708-1	NP_001031057
O23708-1	NP_001031057
O23710-1	NP_566818
O23710-2	NP_850641
O23712	NP_175158
O23714	NP_188902
O23715	NP_180270
O23717	NP_172765
O23913	NP_188875
O24407	NP_187124
O24408	NP_175607
O24409	NP_188173
O24410	NP_182222
O24412	NP_196197
O24454	NP_568074
O24456	NP_173248
O24495	NP_565999
O24496	NP_187696
O24520	NP_179204
O24521	NP_187663
O24600	NP_179989
O24606	NP_188713
O24616	NP_201415
O24617	NP_566804
O24633	NP_193216
O24646	NP_568246
O48520	NP_181742
O48549	NP_194898
O48593	NP_193462
O48626	NP_565757
O48639	NP_199150
O48646	NP_192897
O48661	NP_177188
O48670	NP_195633
O48671	NP_179754
O48677	NP_173821
O48707	NP_180208
O48709	NP_180210
O48737	NP_849585
O48741	NP_171860
O48766	NP_180858
O48772	NP_565758
O48780	NP_180232
O48818	NP_181500
O48845	NP_180831
O48850	NP_180826
O48917	NP_195029
O48946	NP_194967
O48947	NP_195645
O48962	NP_173433
O48963	NP_001030814
O48963	NP_001030814
O49048	NP_565150
O49139-1	NP_565245
O49160	NP_191174
O49196	NP_195704
O49203	NP_192839
O49255	NP_564966
O49289	NP_177830
O49292	NP_565149
O49296	NP_173735
O49344	NP_180637
O49347	NP_176940
O49354	NP_180649
O49377	NP_194942
O49397	NP_194920
O49404	NP_193624
O49423	NP_193729
O49453	NP_194573
O49482	NP_195149
O49498	NP_195132
O49499	NP_195131
O49543	NP_201373
O49550	NP_193840
O49552	NP_193842
O49561	NP_193852
O49562	NP_193853
O49586	NP_194865
O49621	NP_001031578
O49621	NP_001031578
O49623	NP_201205
O49629	NP_193955
O49651	NP_194001
O49691	NP_193526
O49730	NP_193561
O49741	NP_182031
O49743	NP_191612
O50008	NP_197294
O50039	NP_177667
O50055	NP_197089
O50061	NP_563786
O64380	NP_173690
O64474	NP_179501
O64483	NP_179509
O64497	NP_563699
O64510	NP_178375
O64527	NP_565204
O64628	NP_179489
O64635	NP_182079
O64636-1	NP_850439
O64636-2	NP_850440
O64637	NP_182081
O64638	NP_182082
O64644	NP_566050
O64645	NP_182090
O64650	NP_182095
O64654	NP_172333
O64668	NP_172346
O64692	NP_181002
O64718	NP_178362
O64738	NP_180569
O64747-1	NP_181029
O64748	NP_181030
O64749-2	NP_850238
O64758	NP_181040
O64762	NP_181044
O64763	NP_181045
O64765	NP_181047
O64769	NP_181051
O64789	NP_176326
O64790	NP_176325
O64791	NP_176324
O64792	NP_176323
O64806	NP_179879
O64817	NP_179890
O64836	NP_179946
O64847	NP_180192
O64885	NP_566018
O64888	NP_181981
O64889	NP_181982
O64890	NP_181983
O64903	NP_568970
O64948	NP_568675
O64973	NP_172686
O64989	NP_190635
O65154	NP_196487
O65155	NP_192830
O65201	NP_201316
O65282	NP_197572
O65282	NP_197572
O65312	NP_563658
O65351	NP_569048
O65355	NP_565186
O65359	NP_001031950
O65359	NP_001031950
O65381	NP_172662
O65388	NP_172656
O65396	NP_172650
O65396	NP_172650
O65399	NP_172647
O65402	NP_197804
O65403	NP_197802
O65404	NP_197803
O65413	NP_193879
O65421	NP_193887
O65421	NP_193887
O65421	NP_193887
O65438	NP_193757
O65456	NP_193939
O65457	NP_193940
O65493	NP_567983
O65515	NP_195347
O65569	NP_194809
O65570	NP_194745
O65590	NP_194374
O65595	NP_194369
O65607	NP_194284
O65677	NP_195177
O65693	NP_195199
O65717	NP_200125
O65718	NP_197045
O65719	NP_187555
O65782	NP_194878
O65784	NP_190896
O65785	NP_189253
O65786	NP_189259
O65787	NP_179995
O65788-1	NP_172767
O65788-2	NP_849653
O65790	NP_195459
O65797	NP_172098
O78310	NP_565666
O80337	NP_567530
O80338	NP_199533
O80339	NP_175479
O80340	NP_188139
O80341	NP_568679
O80365	NP_181663
O80366	NP_191263
O80397	NP_175577
O80437	NP_181346
O80439	NP_181349
O80446	NP_181356
O80448	NP_181358
O80452	NP_565886
O80452	NP_565886
O80458	NP_565551
O80483	NP_172395
O80497	NP_181985
O80505	NP_181994
O80507-1	NP_181996
O80507-2	NP_850421
O80517	NP_182006
O80536	NP_172424
O80536	NP_172424
O80543	NP_173694
O80568	NP_850407
O80575	NP_181933
O80580	NP_181939
O80585	NP_566011
O80605	NP_178389
O80622	NP_178409
O80626	NP_181471
O80722	NP_182226
O80725	NP_182223
O80739	NP_176222
O80760	NP_176242
O80765	NP_176247
O80770	NP_180968
O80792	NP_178818
O80796	NP_564846
O80803	NP_176710
O80805	NP_176712
O80822	NP_181679
O80832	NP_182111
O80840	NP_182103
O80873	NP_563782
O80873	NP_563782
O80912	NP_181373
O80917	NP_181368
O80927	NP_565865
O80928	NP_181295
O80929	NP_181296
O80931	NP_181299
O80932	NP_181300
O80934	NP_565868
O80946	NP_181467
O80948	NP_181465
O80950	NP_181463
O80961	NP_565902
O80988	NP_180178
O80994	NP_180172
O80995	NP_180171
O80998	NP_180168
O81003	NP_179871
O81004	NP_565543
O81007	NP_565544
O81014	NP_180261
O81016	NP_180259
O81053	NP_178420
O81078	NP_180474
O81108	NP_195479
O81123	NP_187881
O81146	NP_198409
O81147	NP_178641
O81148	NP_188850
O81149	NP_175788
O81153	NP_001031294
O81153	NP_001031294
O81223	NP_197815
O81235	NP_187703
O81275	NP_191584
O81322	NP_191932
O81323	NP_191933
O81346	NP_195705
O81416	NP_192138
O81439	NP_192311
O81445	NP_567533
O81488	NP_197993
O81635	NP_568491
O81641	NP_200225
O81644	NP_565958
O81645	NP_567048
O81755	NP_195113
O81769	NP_194907
O81769	NP_194907
O81772	NP_194904
O81788	NP_195280
O81821	NP_197184
O81821	NP_197184
O81825	NP_194452
O81826	NP_194453
O81829	NP_194456
O81850	NP_001031670
O81852-1	NP_974576
O81852-2	NP_193706
O82122	NP_568454
O82132	NP_196160
O82133	NP_187713
O82155	NP_175581
O82175	NP_181061
O82198	NP_179572
O82200	NP_565459
O82204	NP_001031374
O82204	NP_001031374
O82205	NP_179562
O82221	NP_179971
